player,pos,g,ast,tov,ast/tov
Tyus Jones,PG,633,2794,507.0,5.511
Monte Morris,PG,435,1555,305.0,5.098
Muggsy Bogues,PG,950,7057,1538.0,4.588
John Paxson,PG,772,2758,651.0,4.237
Chris Paul,PG,1305,12167,3022.0,4.026
Don Buse,PG,403,1488,381.0,3.906
José Calderón,PG,1009,5754,1506.0,3.821
Tyrese Haliburton,PG,371,3196,853.0,3.747
John Stockton,PG,1504,15806,4244.0,3.724
Pooh Richardson,PG,639,4180,1165.0,3.588
Danny Young,PG,636,1846,519.0,3.557
Delon Wright,PG,715,2246,642.0,3.498
Greg Grant,PG,373,1065,307.0,3.469
Scott Brooks,PG,739,1724,498.0,3.462
Brad Davis,PG,919,4624,1339.0,3.453
Fred VanVleet,PG,520,2968,868.0,3.419
Rickey Green,PG,906,5196,1521.0,3.416
Maurice Cheeks,PG,1100,7414,2196.0,3.376
John Lucas,PG,682,4461,1335.0,3.342
Johnny Moore,PG,525,3878,1170.0,3.315
Foots Walker,PG,307,1603,484.0,3.312
Mark Jackson,PG,1461,11930,3604.0,3.31
Avery Johnson,PG,1259,6628,2008.0,3.301
Nate McMillan,PG,796,4893,1486.0,3.293
Brevin Knight,PG,838,4996,1530.0,3.265
Steve Kerr,PG,962,1728,531.0,3.254
Spencer Dinwiddie,PG,795,4125,1272.0,3.243
Jeff McInnis,PG,646,2944,909.0,3.239
Damon Jones,PG,736,1944,608.0,3.197
Fat Lever,PG,752,4696,1471.0,3.192
Tomáš Satoranský,SG,443,1770,559.0,3.166
Terrell Brandon,PG,760,4716,1493.0,3.159
Devonte' Graham,PG,409,1644,523.0,3.143
Antonio Daniels,PG,946,3111,990.0,3.142
Nick Van Exel,PG,952,6255,2006.0,3.118
T.J. McConnell,PG,660,3333,1071.0,3.112
Kyle Macy,PG,551,2198,712.0,3.087
Mike Conley,PG,1196,6880,2242.0,3.069
Jerry Sichting,PG,685,2149,701.0,3.066
Vinny Del Negro,PG,836,2610,854.0,3.056
Eric Snow,PG,910,4422,1454.0,3.041
Jason Kidd,PG,1526,13393,4411.0,3.036
Derrick White,SG,525,2217,736.0,3.012
Michael Adams,PG,653,4209,1402.0,3.002
Kevin Ollie,PG,938,2297,766.0,2.999
Gary Payton,PG,1415,9629,3217.0,2.993
Lee Mayberry,PG,496,1767,591.0,2.99
Ish Smith,PG,1123,4177,1403.0,2.977
Kevin Johnson,PG,815,7148,2404.0,2.973
Steve Nash,PG,1217,10335,3478.0,2.972
Matthew Dellavedova,PG,527,1871,630.0,2.97
Doc Rivers,PG,927,5051,1711.0,2.952
Kenny Anderson,PG,1092,6417,2182.0,2.941
Tim Frazier,PG,422,1646,560.0,2.939
Lorenzo Romar,PG,368,1227,418.0,2.935
Pablo Prigioni,PG,337,936,319.0,2.934
Immanuel Quickley,PG,362,1355,463.0,2.927
Ricky Rubio,PG,698,5160,1768.0,2.919
Cory Joseph,PG,898,2671,916.0,2.916
Lester Conner,PG,761,2834,972.0,2.916
Jalen Brunson,PG,455,2227,765.0,2.911
Chris Duhon,PG,606,2690,925.0,2.908
Alvin Williams,PG,514,1980,681.0,2.907
Fred Hoiberg,SG,541,846,292.0,2.897
Magic Johnson,PG,906,10141,3506.0,2.892
Patrick Beverley,PG,806,2651,917.0,2.891
Mookie Blaylock,PG,889,5972,2067.0,2.889
Rajon Rondo,PG,1109,8491,2943.0,2.885
Greg Anthony,PG,817,3279,1137.0,2.884
Anthony Goldwire,PG,385,1049,364.0,2.882
Steve Blake,PG,1087,4541,1581.0,2.872
Jay Humphries,PG,874,4753,1677.0,2.834
Tim Hardaway,PG,1015,8013,2827.0,2.834
Ty Lawson,PG,617,3553,1254.0,2.833
Deron Williams,PG,974,7846,2770.0,2.832
Steve Colter,PG,664,1953,692.0,2.822
Trey Burke,PG,589,1764,625.0,2.822
B.J. Armstrong,PG,845,2690,956.0,2.814
Jason Williams,PG,815,4663,1661.0,2.807
Derek Harper,PG,1281,6911,2469.0,2.799
Cameron Payne,PG,581,1761,630.0,2.795
Rod Strickland,PG,1291,9002,3224.0,2.792
Sedale Threatt,PG,1090,4032,1448.0,2.785
Randy Wittman,SG,607,1312,473.0,2.774
Jason Hart,PG,421,931,338.0,2.754
Luke Ridnour,PG,891,3889,1415.0,2.748
Andre Miller,PG,1562,9717,3545.0,2.741
Kyle Anderson,SF,679,1891,690.0,2.741
Gus Williams,PG,511,3464,1267.0,2.734
Yogi Ferrell,PG,315,795,292.0,2.723
Mark Price,PG,722,4863,1790.0,2.717
Malcolm Brogdon,PG,454,2115,779.0,2.715
Johnny Dawkins,PG,541,2997,1108.0,2.705
Norm Nixon,PG,605,5096,1886.0,2.702
Earl Boykins,PG,766,2464,913.0,2.699
Kevon Looney,C,551,885,328.0,2.698
Travis Best,PG,782,2768,1027.0,2.695
Geoff Huston,PG,577,2903,1078.0,2.693
Kyle Lowry,PG,1297,7594,2823.0,2.69
Danny Ainge,SG,1115,4601,1711.0,2.689
