Principal Component 1,Principal Component 2,Position
-350.1784623282273,-29.658476108720347,SG
-586.2061238292757,-25.392108122095447,SG
-338.37400501657845,-9.141408278113722,PF
-508.5441929342076,-37.39859417515888,PG
-535.5708696125212,-18.592114974144216,SF
-290.164985780612,-11.137083656119687,SG
-379.01932409694933,-33.54208442277908,SG
-328.1679755002554,26.364875889833698,C
-482.57720745067616,-25.88912242440067,SG
-463.6547329950506,-18.82088272536567,SG
-538.6519460703173,0.48072418281870455,C
-239.31158057372642,37.78453415778685,C
107.8088042895265,86.75018637948958,C
-154.44342617895285,68.73603320269106,SF
-263.3691464964641,-32.14298862927841,SG
-378.36567490758785,103.46969863192767,C
-455.94561241939726,14.731290733692681,SG
-367.21501585082126,-57.12537478535074,SG
-115.44167952203281,-35.198970246559114,SF
-71.26626786801432,-120.02363966559614,SG
-282.1223543810886,-53.14192604240826,PG
291.9889875440656,87.61961887409363,C
224.1717102519807,-75.9380165502146,SG
-539.3072197118194,-15.231818485213518,PF
-521.7114925558125,-28.922979656658676,SG
-579.617024364246,-16.797160064196653,SF
-490.6890197643486,-10.132447052932914,SF
-67.88751493082896,-88.70394826766423,SG
-179.1946666908059,-59.750065329202435,SG
-24.755318554654423,78.30598435485362,C
-589.2286103556287,-21.91540001588738,SG
15.247009098106673,20.470627373643936,SG
-178.57987316217088,-5.0138783169029075,SF
-497.4755760056971,-47.21814791271862,SG
-114.681205067402,73.77006618821748,PF
-428.26598587684407,-32.131117287966696,SG
-570.5572990895189,-21.603467843597976,PF
-489.6048893054494,-41.20679402258895,PG
-182.07034393531433,-61.00769408072118,SG
-588.5931618814708,-20.04784503440618,C
-311.98519632264674,1.8096038788334852,SG
-225.55422730805833,-42.979684464701535,SG
-329.52355404590276,54.3368198650312,PF
-173.5798498685906,-56.67952385550804,SF
-83.49914928653538,-55.531641458387185,SF
-578.2632888485304,-26.818853445646173,PG
-383.5093304799117,-23.847581679100877,SF
-590.9999578205151,-26.951640237485655,SG
-178.9768461768918,15.92042451803659,C
-576.7214872059359,-26.353656607333697,PG
-179.05125259631563,-26.876505639487327,SG
-156.2093106711934,-77.5164797716522,PG
140.13865890887587,-109.92359955780171,PG
-558.3461183957496,-26.89995526948912,SF
-337.25271505630417,2.7345551110988566,SF
-489.91349034068685,-6.497999802939848,SF
-559.8586957106618,-24.37825607022633,SG
-149.80029408172118,-86.40868895528503,SG
-474.51286139149573,-22.276988399524853,SF
-1.4200984012181834,-64.46166404726945,PF
-391.14441195067553,-57.27966862839927,PG
-260.7764953525842,-68.36771854752476,SF
-282.3105550400229,-17.766292129202,PG
-358.6595566207351,-5.825241131831962,SG
-411.3049006829143,11.995505176882041,C
-266.60502230773403,19.59115130045881,PF
-560.8360469414446,-20.591101505493526,SG
-208.33867813294887,-86.34385173438403,PG
-142.500750007217,-9.035981859297067,SG
-546.1550795712889,4.661247886562396,C
-13.379268604828212,-101.23527112987637,SG
-300.9947057692489,17.429562409419702,SF
-515.027901857166,-10.283252469602159,SG
-381.6734752023933,-34.17706367274818,PG
-579.6492789886969,-21.067840175758693,C
-43.849848007376636,-112.34995271011279,SG
-297.9994155034991,-27.734600577712317,SF
-540.5983870871823,-30.763979614276845,PG
-592.1008749805403,-25.110170054064955,SG
-209.509029631325,-86.48736158339298,PG
-590.8174109710816,-24.798687506670785,SG
-531.2421132297078,-19.581434368953094,SG
-342.56583142489524,-51.716693036460825,PG
-459.00227569691674,-23.51628693575357,SG
-256.02596705831235,-6.458855751121337,SF
36.770602737423246,-129.23960614284923,PG
-577.0849076692347,-27.494910700430143,SG
-479.36801612791515,16.037762907215964,C
-550.846645991828,-7.678070843005347,C
83.89531351502694,-176.5147110888542,PG
-592.3233208769358,-27.724098086773637,SG
-503.87873795554606,-12.719464255312879,PF
-359.68557680681545,-75.51189644298464,PG
-509.0817118124696,7.5465258577391126,C
313.18784036961733,-141.6703988471166,PG
-138.53635426336416,-48.41172631340965,SF
-527.9929153666307,-28.386977696600766,SG
-0.3986930464930083,-91.37003856256241,SF
-414.7535692986935,39.722463999910815,PF
-201.72626934131472,99.06287887742663,C
-298.99682938276453,-35.74267587015387,PG
-516.753796965171,-20.238434851151137,PG
-117.85835883777065,9.029080500782193,SF
-80.11263229011558,-128.57187083113524,PG
-149.31550084022365,-116.47247939487659,PG
-526.2966173765059,-38.36325175799693,PG
-270.46485686147884,-9.781686744181723,SF
-17.52752110252834,-62.73132264112728,SG
-128.67621469809137,-29.95701466660134,SG
92.25124928596824,-145.94408536061468,SG
-310.5984107364047,-53.93731411101457,SG
-174.28155625442213,-23.634212651147717,SF
-529.0318427065721,-4.971897298163281,SF
144.23799745974623,125.55696691505047,C
-591.4129632315012,-26.205481568300126,SF
-414.2303258593191,78.1539452396345,C
185.22931730035305,-111.2604297866206,SG
-243.34906565869835,-43.109178510200834,SG
-364.0563053221597,0.2306202167485516,PF
-366.9018775794199,-0.22573374120089085,PF
-510.667296080395,-29.988188485907244,SF
-287.99355575809784,13.069818771025169,PF
-454.88678444198126,21.56161028260496,C
-559.4036601403445,-15.909640290356856,PF
-496.87636534563546,-22.214395583686372,SG
-270.5400583599208,-60.10982655834175,SF
-554.1013794008848,-23.116243548727457,C
-537.7077754905797,-2.0319656655295653,C
-173.7516142323604,-16.39736999661018,SG
-579.3514459970836,-26.042644692754962,PF
-534.692864562807,-35.818769231097484,PG
-565.7293545269259,-21.60609291028548,PF
-496.06103709197794,-39.33956864818965,SG
38.582631501892934,64.1930913713098,PF
45.08910161968879,-84.95451408947528,SF
-87.38758961513264,-75.41981619410049,PG
-452.14470165685475,-29.414475808690298,PG
-378.63591152351,-56.03564090557323,SG
-514.1624978505644,-25.25080422374735,SG
-442.9191537482222,1.7405922848139177,SG
-311.3371613681007,-36.52278790253962,SG
-285.8352059635836,12.010369250350315,PF
282.12348743062137,6.655813336081799,PF
-238.33033773562858,109.71889880943543,C
-111.4017254288866,-60.884168093896726,SG
-407.5952108595577,-2.501314948360413,PF
-340.15221702626803,-26.67611962806505,SG
-262.71381846680396,29.48488022554735,PF
-586.595367067356,-20.83221337578485,PF
-218.37253683993026,-4.851596483576728,PF
-373.91639755674316,2.5852381783167893,SF
-410.750709538262,-25.125344968314682,SF
-526.347028604612,-8.489056523583915,PF
-548.4195843028698,-35.27317555096358,PG
-514.1760118388498,-14.738036791843188,PF
-430.1941686389267,-27.244066029641093,SG
-494.4588929495916,-32.63448004481282,PG
-316.81642072350144,88.14771658118342,C
-332.3435029850742,-24.783723349713526,SG
